name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Planet Caravan,Brownout,Brownout Presents Brown Sabbath,1G1Ukqm5rHXIj92LWRtp9s,430580,False,spotify:track:1G1Ukqm5rHXIj92LWRtp9s,Unknown,0.482,0.607,11,-7.992,0,0.0391,0.0156,0.181,0.147,0.207,82.857,4
It's Not Easy,Ofege,Forge Your Own Chains: Heavy Psychedelic Ballads and Dirges 1968-1974,2pm72A1aBHKwqr05xaDW8h,260879,False,spotify:track:2pm72A1aBHKwqr05xaDW8h,Unknown,0.52,0.824,2,-4.286,1,0.0462,0.324,4.76e-06,0.147,0.517,79.39,4
Fearless - 2011 Remastered Version,Pink Floyd,Meddle (2011 Remastered Version),6SHabvVeSeZW4UOGIo8OpG,367933,False,spotify:track:6SHabvVeSeZW4UOGIo8OpG,Unknown,0.38,0.341,7,-15.719,1,0.0418,0.16,0.0408,0.448,0.179,143.719,4
"This Must Be the Place (Naive Melody) - Live at the Pantages Theatre, December 1983",Talking Heads,"Once in a Lifetime / This Must Be the Place (Naïve Melody) [Live at the Pantages Theatre, December 1983]",2M4K2cYkZHN7OMJSZhPa5i,326493,False,spotify:track:2M4K2cYkZHN7OMJSZhPa5i,Unknown,0.794,0.495,7,-14.054,1,0.0378,0.0733,0.0125,0.41,0.952,114.073,4
I Had a Real Good Lover,The Shouting Matches,Mouthoil,1XMQ4v75bj65rHBCDwaBGc,392106,False,spotify:track:1XMQ4v75bj65rHBCDwaBGc,Unknown,0.491,0.382,4,-14.021,1,0.0724,0.408,0.0128,0.156,0.251,142.555,3
Zealots,Fugees,The Score (Expanded Edition),52PgJoRz30sRQGOGqXYKdX,260545,True,spotify:track:52PgJoRz30sRQGOGqXYKdX,Unknown,0.53,0.45,5,-14.975,1,0.489,0.196,2.62e-06,0.147,0.339,77.887,4
Odyssey (feat. GRiZ),SunSquabi,Odyssey (feat. GRiZ),5lQwBT4tJBTwFkEV9lkMFh,260571,False,spotify:track:5lQwBT4tJBTwFkEV9lkMFh,Unknown,0.74,0.564,2,-10.148,1,0.0386,0.23,0.721,0.164,0.86,104.976,4
"WDYW (feat. Lil Uzi Vert, A$AP Ferg & Rich The Kid)",Carnage,Papi Gordo,4afMG2PlvFfX976bZJvHmb,233000,True,spotify:track:4afMG2PlvFfX976bZJvHmb,Unknown,0.72,0.816,5,-3.313,1,0.143,0.207,0,0.813,0.487,125.074,4
Jumpman,Drake,What A Time To Be Alive,27GmP9AWRs744SzKcpJsTZ,205879,True,spotify:track:27GmP9AWRs744SzKcpJsTZ,Unknown,0.852,0.553,1,-7.286,1,0.187,0.0559,0,0.332,0.656,142.079,4
Watch Out,2 Chainz,Watch Out,22DKsoYFV5npPXmnPpXL7i,207813,True,spotify:track:22DKsoYFV5npPXmnPpXL7i,Unknown,0.899,0.504,8,-6.758,0,0.5,0.826,0,0.052,0.537,129.89,4
Knockin' On Heaven's Door,Jerry Garcia,The Pizza Tapes,3UdZxNEolTsv3bAiXU1pg7,347866,False,spotify:track:3UdZxNEolTsv3bAiXU1pg7,Unknown,0.54,0.248,7,-13.882,1,0.0352,0.948,0.0492,0.0932,0.344,107.098,4
Got What He Wanted,The String Cheese Incident,"Rhythm of the Road: Volume 2, Live in Las Vegas",2Ws53w6U219DEtwVVoVQOG,1324200,False,spotify:track:2Ws53w6U219DEtwVVoVQOG,Unknown,0.417,0.828,0,-8.955,1,0.0474,0.00713,0.506,0.723,0.572,107.921,4
